Date;Price;Open;High;Low;Vol.;Change %;;;
45411;638601;63.113.7;64.193.1;61.837.2;67260.0;0.011899999999999999;;;
45410;631097;63.457.9;64.346.1;62.827.8;36650.0;-0.0055000000000000005;;;
45409;634568;63.765.8;63.916.7;62.507.7;45340.0;-0.0049;;;
45408;637664;64.497.1;64.771.3;63.354.9;61600.0;-0.0113;;;
45407;644971;64.287.1;65.247.5;62.889.2;80770.0;0.0033;;;
45406;642857;66.414.9;67.060.5;63.606.9;77830.0;-0.0321;;;
45405;664150;66.829.5;67.180.0;65.848.3;52420.0;-0.0062;;;
45404;668293;64.940.1;67.208.0;64.527.5;72300.0;0.0291;;;
45403;649402;64.942.1;65.680.6;64.267.5;42020.0;-0.0003;;;
45402;649611;63.817.6;65.375.6;63.131.7;49330.0;0.0182;;;
45401;637991;63.480.5;65.441.2;59.693.3;150340.0;0.005;;;
45400;634814;61.278.9;64.092.4;60.822.3;97380.0;0.0359;;;
45399;612789;63.802.3;64.451.5;59.820.8;118920.0;-0.039599999999999996;;;
45398;638053;63.416.1;64.274.4;61.715.6;114960.0;0.0062;;;
45397;634119;65.696.6;66.805.1;62.379.5;118790.0;-0.0348;;;
45396;656974;63.909.5;65.758.2;62.174.7;134400.0;0.028900000000000002;;;
45395;638499;67.137.4;67.921.0;61.065.5;149480.0;-0.0492;;;
45394;671519;70.014.9;71.226.9;65.829.3;131840.0;-0.0408;;;
45393;700116;70.620.4;71.249.2;69.586.1;72510.0;-0.0086;;;
45392;706221;69.147.8;71.086.9;67.570.0;97710.0;0.0213;;;
45391;691480;71.627.3;71.737.2;68.264.6;93690.0;-0.0347;;;
45390;716301;69.358.0;72.710.8;69.110.5;105780.0;0.0327;;;
45389;693604;68.897.3;70.285.8;68.849.4;46990.0;0.0068000000000000005;;;
45388;688906;67.830.5;69.632.0;67.467.2;41480.0;0.015600000000000001;;;
45387;678306;68.498.7;68.692.2;66.023.3;88970.0;-0.0097;;;
45386;684965;65.968.4;69.238.8;65.096.3;100300.0;0.0384;;;
