Date,Price,Open,High,Low,Vol,Change
45428,65.231,66.219,66.643,64.623,72.55,-1.50%
45427,66.225,61.569,66.417,61.357,106.5,7.56%
45426,61.569,62.936,63.102,61.156,68.84,-2.17%
45425,62.937,61.480,63.443,60.779,70.55,2.37%
45424,61.480,60.826,61.847,60.647,27.40,1.07%
45423,60.826,60.796,61.487,60.499,27.50,0.05%
45422,60.796,63.74,63.454,60.251,79.33,-3.61%
45421,63.75,61.207,63.413,60.671,64.22,3.05%
45420,61.207,62.304,62.997,60.894,56.47,-1.78%
45419,62.317,63.163,64.361,62.294,59.74,-1.34%
45418,63.163,64.5,65.448,62.730,77.68,-1.32%
45417,64.6,63.897,64.587,62.923,40.51,0.18%
45416,63.888,62.887,64.466,62.599,53.3,1.61%
45415,62.877,59.104,63.298,58.830,100.46,6.35%
45414,59.121,58.334,59.548,56.989,98.6,1.35%
45413,58.331,60.665,60.827,56.643,171.55,-3.85%
45412,60.666,63.852,64.700,59.228,121.4,-5.00%
45411,63.860,63.113,64.193,61.837,67.26,1.19%
45410,63.109,63.457,64.346,62.827,36.65,-0.55%
45409,63.456,63.765,63.916,62.507,45.34,-0.49%
45408,63.766,64.497,64.771,63.354,61.60,-1.13%
45407,64.497,64.287,65.247,62.889,80.77,0.33%
45406,64.285,66.414,67.60,63.606,77.83,-3.21%
45405,66.415,66.829,67.180,65.848,52.42,-0.62%
45404,66.829,64.940,67.208,64.527,72.30,2.91%
45403,64.940,64.942,65.680,64.267,42.2,-0.03%
45402,64.961,63.817,65.375,63.131,49.33,1.82%
45401,63.799,63.480,65.441,59.693,150.34,0.50%
45400,63.481,61.278,64.92,60.822,97.38,3.59%
45399,61.278,63.802,64.451,59.820,118.92,-3.96%
45398,63.805,63.416,64.274,61.715,114.96,0.62%
45397,63.411,65.696,66.805,62.379,118.79,-3.48%
45396,65.697,63.909,65.758,62.174,134.40,2.89%
45395,63.849,67.137,67.921,61.65,149.48,-4.92%
45394,67.151,70.14,71.226,65.829,131.84,-4.08%
45393,70.11,70.620,71.249,69.586,72.51,-0.86%
45392,70.622,69.147,71.86,67.570,97.71,2.13%
45391,69.148,71.627,71.737,68.264,93.69,-3.47%
45390,71.630,69.358,72.710,69.110,105.78,3.27%
45389,69.360,68.897,70.285,68.849,46.99,0.68%
45388,68.890,67.830,69.632,67.467,41.48,1.56%
45387,67.830,68.498,68.692,66.23,88.97,-0.97%
45386,68.496,65.968,69.238,65.96,100.30,3.84%
45385,65.963,65.443,66.844,64.559,88.46,0.80%
45384,65.439,69.662,69.673,64.628,152.87,-6.07%
45383,69.664,71.329,71.329,68.175,94.5,-2.34%
45382,71.332,69.608,71.367,69.576,42.45,2.47%
45381,69.611,69.872,70.321,69.564,29.87,-0.37%
45380,69.871,70.766,70.907,69.90,58.99,-1.26%
45379,70.762,69.449,71.542,68.956,72.49,1.90%
45378,69.442,69.999,71.670,68.428,112.88,-0.80%
45377,69.999,69.896,71.490,69.366,90.98,0.15%
45376,69.892,67.216,71.118,66.395,124.72,3.99%
45375,67.211,64.36,67.587,63.812,65.59,4.96%
45374,64.37,63.785,65.972,63.74,35.11,0.40%
45373,63.785,65.501,66.633,62.328,72.43,-2.62%
45372,65.503,67.860,68.161,64.616,75.26,-3.46%
45371,67.854,62.46,68.29,60.850,133.53,9.35%
45370,62.50,67.594,68.99,61.560,148.8,-8.20%
45369,67.594,68.389,68.920,66.601,78.7,-1.17%
45368,68.391,65.314,68.857,64.605,66.7,4.71%
45367,65.314,69.456,70.37,64.971,75.82,-5.97%
45366,69.463,71.387,72.398,65.765,148.59,-2.69%
45365,71.387,73.66,73.740,68.717,109.43,-2.30%
45364,73.66,71.461,73.623,71.338,77.18,2.23%
45363,71.470,72.99,72.916,68.845,105.9,-0.87%
45362,72.99,68.964,72.771,67.452,114.72,4.54%
45361,68.964,68.360,69.905,68.165,53.49,0.88%
45360,68.366,68.178,68.576,67.923,30.71,0.29%
45359,68.172,66.854,69.904,66.170,112.67,1.97%
45358,66.855,66.74,67.985,65.602,77.47,1.17%
45357,66.80,63.794,67.604,62.848,117.91,3.59%
