Date	Price	Open	High	Low	Vol	Change		Date,	Price,	Open,	High,	Low,	Vol,
01/08/2024	65.372.9	64.625.7	65.587.9	62.303.9	84.20	1.16%		45505,	65.372.9,	64.625.7,	65.587.9,	62.303.9,	84.20,
31/07/2024	64.626.0	66.185.4	66.825.6	64.538.3	51.52	-2.36%							
30/07/2024	66.184.9	66.796.1	66.998.3	65.328.7	54.43	-0.92%							
29/07/2024	66.798.7	68.256.3	70.000.2	66.544.5	85.67	-2.14%							
28/07/2024	68.256.3	67.888.9	68.291.9	67.067.8	26.17	0.61%							
27/07/2024	67.843.1	67.910.8	69.387.6	66.776.8	67.99	-0.10%							
26/07/2024	67.908.6	65.799.7	68.205.0	65.764.3	59.13	3.21%							
25/07/2024	65.799.3	65.363.9	66.088.6	63.500.9	77.46	0.66%							
24/07/2024	65.370.5	65.936.8	67.072.1	65.155.2	52.47	-0.86%							
23/07/2024	65.937.8	67.550.4	67.750.2	65.512.9	69.58	-2.39%							
22/07/2024	67.553.6	68.158.4	68.468.9	66.601.8	54.88	-0.89%							
21/07/2024	68.158.7	67.147.8	68.352.9	65.825.6	47.19	1.50%							
20/07/2024	67.148.5	66.677.0	67.586.4	66.257.4	32.94	0.71%							
19/07/2024	66.677.4	63.981.2	67.390.4	63.326.1	82.87	4.22%							
18/07/2024	63.980.5	64.090.4	65.102.0	63.253.5	51.27	-0.17%							
17/07/2024	64.089.2	65.052.8	66.051.5	63.897.5	66.11	-1.48%							
16/07/2024	65.049.7	64.749.2	65.319.5	62.430.8	93.63	0.41%							
15/07/2024	64.782.4	60.794.7	64.869.5	60.678.8	96.02	6.56%							
14/07/2024	60.794.9	59.207.9	61.326.9	59.207.9	47.48	2.68%							
13/07/2024	59.209.8	57.897.4	59.826.5	57.770.6	34.28	2.29%							
12/07/2024	57.885.1	57.338.3	58.520.9	56.575.7	56.84	0.96%							
11/07/2024	57.337.3	57.745.9	59.404.4	57.095.0	66.40	-0.71%							
10/07/2024	57.746.7	58.040.2	59.393.8	57.185.3	59.60	-0.50%							
