Date,Price,Open,High,Low,Vol.,Change %
45455,682601,673209,699908,669115,85550.0,0.013999999999999999
45454,673198,695379,695733,661978,96700.0,-0.0319
45453,695382,696502,701525,692599,39120.0,-0.0016
45452,696506,693105,698478,691367,20990.0,0.0049
45451,693101,693470,695721,692224,23030.0,-0.0005
45450,693479,707934,719565,686207,82620.0,-0.0204
45449,707915,710836,716161,701787,49790.0,-0.0040999999999999995
45448,710837,705509,717444,703971,67060.0,0.0076
45447,705492,688080,710342,685643,75690.0,0.0253
45446,688078,677633,701310,676168,69420.0,0.015300000000000001
45445,677735,677608,684475,673306,30630.0,0.0002
45444,677608,675339,678610,674496,19010.0,0.0034000000000000002
45443,675301,683523,690182,666768,61510.0,-0.0121
45442,683547,676313,695047,671384,66840.0,0.0106
45441,676358,683662,688976,671432,52130.0,-0.010700000000000001
45440,683660,694283,695607,672999,71390.0,-0.015300000000000001
45439,694287,685146,706383,682752,49070.0,0.013300000000000001
45438,685148,692872,694940,682945,24580.0,-0.0111
45437,692844,685482,695588,685161,25170.0,0.010700000000000001
45436,685476,679711,692120,666858,63280.0,0.0084
45435,679757,691663,700410,665781,89450.0,-0.0171
45434,691554,701410,705934,690243,65080.0,-0.013999999999999999
45433,701399,714305,718720,691817,108560.0,-0.018000000000000002
45432,714227,662783,714828,660765,112660.0,0.0776
45431,662791,669190,676625,659373,36190.0,-0.0095
45430,669175,670366,673614,666361,29680.0,-0.0018
45429,670368,652311,674207,651217,63090.0,0.0277
45428,652310,662196,666439,646233,72550.0,-0.015
45427,662251,615694,664171,613575,106050.0,0.0756
45426,615694,629368,631026,611569,68840.0,-0.0217
45425,629372,614805,634432,607790,70550.0,0.023700000000000002
45424,614800,608266,618477,606471,27400.0,0.010700000000000001
45423,608266,607968,614875,604993,27500.0,0.0005
45422,607969,630743,634543,602518,79330.0,-0.0361
45421,630750,612073,634133,606714,64220.0,0.0305
45420,612075,623049,629974,608942,56470.0,-0.0178
45419,623177,631631,643610,622941,59740.0,-0.0134
45418,631631,640058,654488,627307,77680.0,-0.0132
45417,640064,638977,645872,629239,40510.0,0.0018
45416,638883,628871,644660,625991,53030.0,0.0161
45415,628775,591043,632984,588308,100460.0,0.0635
45414,591213,583349,595480,569898,98060.0,0.013500000000000002
45413,583312,606650,608275,566435,171550.0,-0.0385
45412,606666,638524,647002,592287,121040.0,-0.05
45411,638601,631137,641931,618372,67260.0,0.011899999999999999
45410,631097,634579,643461,628278,36650.0,-0.0055000000000000005
45409,634568,637658,639167,625077,45340.0,-0.0049
45408,637664,644971,647713,633549,61600.0,-0.0113
45407,644971,642871,652475,628892,80770.0,0.0033
45406,642857,664149,670605,636069,77830.0,-0.0321
45405,664150,668295,671800,658483,52420.0,-0.0062
45404,668293,649401,672080,645275,72300.0,0.0291
45403,649402,649421,656806,642675,42020.0,-0.0003
45402,649611,638176,653756,631317,49330.0,0.0182
45401,637991,634805,654412,596933,150340.0,0.005
45400,634814,612789,640924,608223,97380.0,0.0359
45399,612789,638023,644515,598208,118920.0,-0.039599999999999996
45398,638053,634161,642744,617156,114960.0,0.0062
45397,634119,656966,668051,623795,118790.0,-0.0348
45396,656974,639095,657582,621747,134400.0,0.028900000000000002
45395,638499,671374,679210,610655,149480.0,-0.0492
45394,671519,700149,712269,658293,131840.0,-0.0408
45393,700116,706204,712492,695861,72510.0,-0.0086
45392,706221,691478,710869,675700,97710.0,0.0213
45391,691480,716273,717372,682646,93690.0,-0.0347
45390,716301,693580,727108,691105,105780.0,0.0327
45389,693604,688973,702858,688494,46990.0,0.0068000000000000005
45388,688906,678305,696320,674672,41480.0,0.015600000000000001
45387,678306,684987,686922,660233,88970.0,-0.0097
