Date;Price;Open;High;Low;Vol;Change
45387;678306;684987;686922;660233;88.97;-0.97%
45386;684965;659684;692388;650963;100.30;3.84%
45385;659630;654436;668448;645590;88.46;0.80%
45384;654392;696627;696730;646284;152.87;-6.07%
45383;696644;713293;713293;681759;94.05;-2.34%
45382;713320;696085;713675;695766;42.45;2.47%
45381;696115;698723;703212;695649;29.87;-0.37%
45380;698717;707667;709070;690909;58.99;-1.26%
45379;707621;694494;715425;689569;72.49;1.90%
45378;694424;699992;716708;684286;112.88;-0.80%
45377;699993;698963;714907;693664;90.98;0.15%
45376;698920;672164;711188;663950;124.72;3.99%
45375;672119;640365;675878;638129;65.59;4.96%
45374;640378;637856;659724;630749;35.11;0.40%
45373;637855;655015;666333;623283;72.43;-2.62%
45372;655038;678600;681617;646161;75.26;-3.46%
45371;678540;620468;680295;608509;133.53;9.35%
45370;620500;675941;680996;615606;148.08;-8.20%
45369;675941;683897;689201;666014;78.07;-1.17%
45368;683912;653142;688577;646055;66.07;4.71%
45367;653142;694565;700370;649710;75.82;-5.97%
45366;694637;713871;723981;657656;148.59;-2.69%
45365;713875;730667;737409;687172;109.43;-2.30%
45364;730663;714619;736235;713384;77.18;2.23%
45363;714702;720991;729167;688456;105.09;-0.87%
45362;720991;689647;727715;674528;114.72;4.54%
45361;689648;683607;699053;681650;53.49;0.88%
45360;683665;681785;685769;679239;30.71;0.29%
45359;681720;668544;699040;661707;112.67;1.97%
45358;668553;660746;679855;656026;77.47;1.17%
45357;660804;637947;676049;628487;117.91;3.59%
45356;637926;682731;690631;601382;207.60;-6.56%
45355;682701;631358;684951;627468;130.86;8.13%
45354;631358;619556;632273;613994;38.01;1.84%
45353;619945;623977;624463;616219;33.80;-0.65%
45352;623977;611573;631473;607909;74.96;2.01%
45351;611693;624671;636534;605125;119.29;-2.08%
45350;624676;570487;639153;567049;173.64;9.48%
45349;570562;544911;575552;544640;100.48;4.70%
45348;544951;517227;548991;509252;78.05;5.36%
45347;517227;515721;519520;512990;23.61;0.29%
45346;515716;507396;516899;505920;20.99;1.64%
45345;507405;513206;515325;505376;43.27;-1.13%
45344;513204;518502;520158;509473;50.27;-1.04%
45343;518582;522635;523673;506769;59.02;-0.78%
45342;522635;517831;529368;508018;68.10;0.93%
45341;517836;521196;524848;516942;36.73;-0.64%
45340;521175;516460;523503;511996;26.89;0.91%
45339;516460;521342;521755;506523;32.45;-0.94%
45338;521342;519014;525567;516126;52.86;0.45%
45337;519013;518052;528194;513275;74.72;0.23%
45336;517824;497086;520107;492638;80.35;4.16%
45335;497160;499410;503266;483983;78.51;-0.45%
45334;499413;482802;502773;477299;81.85;3.45%
45333;482773;477593;485316;475902;36.50;1.09%
45332;477582;471280;481490;468750;31.20;1.34%
45331;471275;452933;481188;452542;98.11;4.05%
45330;452933;443462;455792;443364;66.38;2.15%
45329;443398;430884;443679;427835;48.57;2.91%
45328;430877;426976;433755;425668;33.32;0.91%
45327;426972;425814;435322;422725;39.26;0.27%
45326;425814;430062;431132;423794;20.33;-0.99%
45325;430057;431947;433704;428820;14.57;-0.44%
45324;431947;430837;434593;425963;42.65;0.26%
45323;430814;425801;432631;418905;47.69;1.18%
45322;425805;429462;437397;423154;56.48;-0.85%
45321;429462;433033;438179;427029;55.13;-0.82%
45320;432998;420314;433056;418247;45.23;3.02%
45319;420307;421213;428171;416490;32.53;-0.21%
45318;421209;418115;421918;414130;20.46;0.74%
45317;418113;399420;422148;398312;69.47;4.70%
45316;399357;400851;402858;395463;46.30;-0.37%
45315;400860;398913;405352;395100;58.64;0.49%
45314;398888;395550;401594;385469;82.67;0.84%
45313;395564;415817;416849;394684;85.10;-4.87%
45312;415832;416954;418780;415045;16.11;-0.27%
45311;416954;416476;418580;414495;22.27;0.11%
45310;416480;412938;421646;403054;72.64;0.86%
45309;412927;427635;429080;406826;70.35;-3.45%
45308;427687;431391;431923;422118;50.44;-0.87%
45307;431455;425152;435637;420931;63.93;1.49%
45306;425107;417476;433489;417192;52.08;1.83%
45305;417461;428513;430694;417396;37.14;-2.58%
45304;428513;428367;432486;424433;48.18;0.04%
45303;428359;463481;465032;418579;136.92;-7.58%
45302;463482;466293;489237;456518;131.04;-0.60%
45301;466293;461120;476543;444036;131.48;1.08%
45300;461290;469592;478801;453339;100.09;-1.77%
45299;469622;439342;471967;432510;103.09;6.91%
45298;439273;439735;444812;436279;29.53;-0.09%
45297;439679;441566;442032;434240;24.26;-0.43%
45296;441569;441630;443121;426290;68.07;0.00%
45295;441570;428361;447445;426328;68.05;3.08%
45294;428361;449437;454927;408883;117.65;-4.69%
45293;449437;441829;458854;441660;97.84;1.72%
45292;441834;422725;441870;421967;36.30;4.52%
45291;422725;421416;428788;419714;35.58;0.32%
45290;421367;420747;425922;415273;35.18;0.15%
45289;420724;425811;431080;414590;60.98;-1.19%
45288;425811;434465;437826;423093;49.84;-1.99%
45287;434465;425143;436767;421153;50.10;2.20%
45286;425133;435799;435949;417966;56.03;-2.44%
45285;435785;429820;437927;427453;32.67;1.39%
45284;429815;437104;439357;427485;30.86;-1.67%
45283;437104;439689;439946;433257;21.29;-0.59%
45282;439689;438659;443946;434193;44.50;0.23%
45281;438659;436603;442418;433102;48.96;0.47%
45280;436628;422595;442787;422172;70.19;3.32%
45279;422593;426597;434733;418427;55.29;-0.94%
45278;426597;413691;427280;405540;61.58;3.12%
45277;413687;422717;424132;412769;35.46;-2.14%
45276;422717;419290;426903;416982;30.11;0.82%
45275;419290;430252;430807;416979;45.28;-2.55%
45274;430259;428863;433927;415912;59.15;0.33%
45273;428845;414870;434175;406493;63.11;3.37%
45272;414870;412561;420709;406915;57.04;0.56%
45271;412561;437910;438063;402771;105.19;-5.79%
45270;437910;437166;440454;435768;23.81;0.17%
45269;437184;441755;443612;436174;31.67;-1.03%
45268;441755;432883;446976;431084;58.44;2.05%
45267;432897;437744;440464;428605;63.09;-1.11%
45266;437763;440762;442837;434667;72.52;-0.68%
45265;440762;419896;444241;414249;96.84;4.97%
45264;419878;399686;423944;399686;104.21;5.05%
45263;399702;394568;401789;392803;35.27;1.30%
45262;394584;386882;396734;386465;37.09;1.99%
45261;386882;377129;389508;376183;62.50;2.59%
45260;377129;378576;381444;375092;33.53;-0.38%
45259;378555;378233;383629;376076;49.34;0.09%
45258;378233;372443;383794;368811;57.50;1.54%
45257;372486;374518;375633;367515;45.24;-0.54%
45256;374518;377864;378191;371663;29.20;-0.89%
45255;377870;377186;378874;375999;16.09;0.18%
45254;377173;372950;384008;372574;65.83;1.14%
45253;372931;374108;376425;369153;32.35;-0.31%
45252;374108;357975;378625;356956;64.81;4.46%
45251;358136;374527;376312;357992;71.07;-4.38%
45250;374541;373566;377356;368576;51.80;0.27%
45249;373542;365686;375046;363933;26.14;2.15%
45248;365686;366175;368452;362206;20.88;-0.07%
45247;365954;361618;366906;358752;51.37;1.20%
45246;361612;378739;379076;355616;66.92;-4.52%
45245;378749;355493;379541;353796;75.51;6.54%
45244;355493;364783;367445;349843;63.56;-2.55%
45243;364783;370678;374046;363584;44.55;-1.58%
45242;370644;371490;372153;367619;21.45;-0.23%
45241;371505;373063;374013;367676;29.53;-0.41%
45240;373030;367005;374961;363472;59.56;1.64%
45239;367005;356369;379420;355781;115.56;2.98%
45238;356369;354262;360502;351488;46.33;0.60%
45237;354261;350421;358779;345369;53.49;1.10%
45236;350420;350203;352756;347429;29.81;0.06%
45235;350194;350658;353602;345500;31.02;-0.13%
45234;350658;347186;352422;346011;23.80;1.00%
45233;347187;349314;349406;341242;54.54;-0.61%
45232;349314;354238;359076;343574;63.66;-1.39%
45231;354238;346483;355575;341387;71.66;2.23%
45230;346506;344789;347046;340539;43.40;0.50%
45229;344779;345267;348533;340895;45.20;-0.14%
45228;345267;340826;347379;339376;27.72;1.30%
45227;340826;339016;343878;338673;22.00;0.53%
45226;339018;341537;342458;334236;47.33;-0.74%
45225;341537;344976;348260;337499;56.62;-0.99%
45224;344968;339170;351239;337134;75.81;1.71%
45223;339170;330373;351914;328665;159.08;2.65%
45222;330418;299842;343756;298914;133.46;10.20%
45221;299842;299127;301934;297136;29.07;0.24%
45220;299129;296747;302648;294691;34.68;0.80%
45219;296745;287240;301659;285861;82.68;3.31%
45218;287230;283218;288838;281702;50.10;1.42%
45217;283217;284052;288760;281690;45.01;-0.29%
45216;284036;285083;286085;280969;53.42;-0.37%
45215;285097;271612;299695;271197;119.18;4.96%
45214;271612;268528;272869;268126;21.95;1.15%
45213;268528;268635;269757;268051;13.56;-0.04%
45212;268635;267611;271148;266829;33.66;0.38%
45211;267611;268782;269428;265653;32.75;-0.43%
45210;268766;273919;274759;265584;55.78;-1.88%
45209;273910;275815;277281;273001;34.32;-0.69%
45208;275814;279227;279864;272795;44.81;-1.22%
45207;279227;279611;280975;277144;24.11;-0.14%
45206;279611;279355;280213;278590;17.29;0.09%
45205;279369;274103;282236;271957;52.51;1.92%
