Date,Price,Open,High,Low,Vol.,Change %
45380,698717,707667,70907,690909,58.99K,-1.26%
45379,707621,694494,715425,689569,72.49K,1.90%
45378,694424,699992,716708,684286,112.88K,-0.80%
45377,699993,698963,714907,693664,90.98K,0.15%
45376,69892,672164,711188,66395,124.72K,3.99%
45375,672119,640365,675878,638129,65.59K,4.96%
45374,640378,637856,659724,630749,35.11K,0.40%
45373,637855,655015,666333,623283,72.43K,-2.62%
45372,655038,6786,681617,646161,75.26K,-3.46%
45371,67854,620468,680295,608509,133.53K,9.35%
45370,6205,675941,680996,615606,148.08K,-8.20%
45369,675941,683897,689201,666014,78.07K,-1.17%
45368,683912,653142,688577,646055,66.07K,4.71%
45367,653142,694565,70037,64971,75.82K,-5.97%
45366,694637,713871,723981,657656,148.59K,-2.69%
45365,713875,730667,737409,687172,109.43K,-2.30%
45364,730663,714619,736235,713384,77.18K,2.23%
45363,714702,720991,729167,688456,105.09K,-0.87%
45362,720991,689647,727715,674528,114.72K,4.54%
45361,689648,683607,699053,68165,53.49K,0.88%
45360,683665,681785,685769,679239,30.71K,0.29%
45359,68172,668544,69904,661707,112.67K,1.97%
45358,668553,660746,679855,656026,77.47K,1.17%
45357,660804,637947,676049,628487,117.91K,3.59%
45356,637926,682731,690631,601382,207.60K,-6.56%
45355,682701,631358,684951,627468,130.86K,8.13%
45354,631358,619556,632273,613994,38.01K,1.84%
45353,619945,623977,624463,616219,33.80K,-0.65%
45352,623977,611573,631473,607909,74.96K,2.01%
45351,611693,624671,636534,605125,119.29K,-2.08%
45350,624676,570487,639153,567049,173.64K,9.48%
45349,570562,544911,575552,54464,100.48K,4.70%
45348,544951,517227,548991,509252,78.05K,5.36%
45347,517227,515721,51952,51299,23.61K,0.29%
45346,515716,507396,516899,50592,20.99K,1.64%
45345,507405,513206,515325,505376,43.27K,-1.13%
45344,513204,518502,520158,509473,50.27K,-1.04%
45343,518582,522635,523673,506769,59.02K,-0.78%
45342,522635,517831,529368,508018,68.10K,0.93%
45341,517836,521196,524848,516942,36.73K,-0.64%
45340,521175,51646,523503,511996,26.89K,0.91%
45339,51646,521342,521755,506523,32.45K,-0.94%
45338,521342,519014,525567,516126,52.86K,0.45%
45337,519013,518052,528194,513275,74.72K,0.23%
45336,517824,497086,520107,492638,80.35K,4.16%
45335,49716,49941,503266,483983,78.51K,-0.45%
45334,499413,482802,502773,477299,81.85K,3.45%
45333,482773,477593,485316,475902,36.50K,1.09%
45332,477582,47128,48149,46875,31.20K,1.34%
45331,471275,452933,481188,452542,98.11K,4.05%
45330,452933,443462,455792,443364,66.38K,2.15%
45329,443398,430884,443679,427835,48.57K,2.91%
45328,430877,426976,433755,425668,33.32K,0.91%
45327,426972,425814,435322,422725,39.26K,0.27%
45326,425814,430062,431132,423794,20.33K,-0.99%
45325,430057,431947,433704,42882,14.57K,-0.44%
45324,431947,430837,434593,425963,42.65K,0.26%
45323,430814,425801,432631,418905,47.69K,1.18%
45322,425805,429462,437397,423154,56.48K,-0.85%
45321,429462,433033,438179,427029,55.13K,-0.82%
45320,432998,420314,433056,418247,45.23K,3.02%
45319,420307,421213,428171,41649,32.53K,-0.21%
45318,421209,418115,421918,41413,20.46K,0.74%
45317,418113,39942,422148,398312,69.47K,4.70%
45316,399357,400851,402858,395463,46.30K,-0.37%
45315,40086,398913,405352,3951,58.64K,0.49%
45314,398888,39555,401594,385469,82.67K,0.84%
45313,395564,415817,416849,394684,85.10K,-4.87%
45312,415832,416954,41878,415045,16.11K,-0.27%
45311,416954,416476,41858,414495,22.27K,0.11%
45310,41648,412938,421646,403054,72.64K,0.86%
45309,412927,427635,42908,406826,70.35K,-3.45%
