Date,Price,Open,High,Low,Vol,Change
45431,66,279.1,66,919.0,67,662.5,65,937.3,36.19K,-0.95%
45430,66,917.5,67,036.6,67,361.4,66,636.1,29.68K,-0.18%
45429,67,036.8,65,231.1,67,420.7,65,121.7,63.09K,2.77%
45428,65,231.0,66,219.6,66,643.9,64,623.3,72.55K,-1.50%
45427,66,225.1,61,569.4,66,417.1,61,357.5,106.05K,7.56%
45426,61,569.4,62,936.8,63,102.6,61,156.9,68.84K,-2.17%
45425,62,937.2,61,480.5,63,443.2,60,779.0,70.55K,2.37%
45424,61,480.0,60,826.6,61,847.7,60,647.1,27.40K,1.07%
45423,60,826.6,60,796.8,61,487.5,60,499.3,27.50K,0.05%
45422,60,796.9,63,074.3,63,454.3,60,251.8,79.33K,-3.61%
45421,63,075.0,61,207.3,63,413.3,60,671.4,64.22K,3.05%
45420,61,207.5,62,304.9,62,997.4,60,894.2,56.47K,-1.78%
45419,62,317.7,63,163.1,64,361.0,62,294.1,59.74K,-1.34%
45418,63,163.1,64,005.8,65,448.8,62,730.7,77.68K,-1.32%
45417,64,006.4,63,897.7,64,587.2,62,923.9,40.51K,0.18%
45416,63,888.3,62,887.1,64,466.0,62,599.1,53.03K,1.61%
45415,62,877.5,59,104.3,63,298.4,58,830.8,100.46K,6.35%
45414,59,121.3,58,334.9,59,548.0,56,989.8,98.06K,1.35%
45413,58,331.2,60,665.0,60,827.5,56,643.5,171.55K,-3.85%
45412,60,666.6,63,852.4,64,700.2,59,228.7,121.04K,-5.00%
45411,63,860.1,63,113.7,64,193.1,61,837.2,67.26K,1.19%
45410,63,109.7,63,457.9,64,346.1,62,827.8,36.65K,-0.55%
45409,63,456.8,63,765.8,63,916.7,62,507.7,45.34K,-0.49%
45408,63,766.4,64,497.1,64,771.3,63,354.9,61.60K,-1.13%
45407,64,497.1,64,287.1,65,247.5,62,889.2,80.77K,0.33%
45406,64,285.7,66,414.9,67,060.5,63,606.9,77.83K,-3.21%
45405,66,415.0,66,829.5,67,180.0,65,848.3,52.42K,-0.62%
45404,66,829.3,64,940.1,67,208.0,64,527.5,72.30K,2.91%
45403,64,940.2,64,942.1,65,680.6,64,267.5,42.02K,-0.03%
45402,64,961.1,63,817.6,65,375.6,63,131.7,49.33K,1.82%
45401,63,799.1,63,480.5,65,441.2,59,693.3,150.34K,0.50%
45400,63,481.4,61,278.9,64,092.4,60,822.3,97.38K,3.59%
45399,61,278.9,63,802.3,64,451.5,59,820.8,118.92K,-3.96%
45398,63,805.3,63,416.1,64,274.4,61,715.6,114.96K,0.62%
45397,63,411.9,65,696.6,66,805.1,62,379.5,118.79K,-3.48%
45396,65,697.4,63,909.5,65,758.2,62,174.7,134.40K,2.89%
45395,63,849.9,67,137.4,67,921.0,61,065.5,149.48K,-4.92%
45394,67,151.9,70,014.9,71,226.9,65,829.3,131.84K,-4.08%
45393,70,011.6,70,620.4,71,249.2,69,586.1,72.51K,-0.86%
45392,70,622.1,69,147.8,71,086.9,67,570.0,97.71K,2.13%
45391,69,148.0,71,627.3,71,737.2,68,264.6,93.69K,-3.47%
45390,71,630.1,69,358.0,72,710.8,69,110.5,105.78K,3.27%
45389,69,360.4,68,897.3,70,285.8,68,849.4,46.99K,0.68%
45388,68,890.6,67,830.5,69,632.0,67,467.2,41.48K,1.56%
45387,67,830.6,68,498.7,68,692.2,66,023.3,88.97K,-0.97%
45386,68,496.5,65,968.4,69,238.8,65,096.3,100.30K,3.84%
45385,65,963.0,65,443.6,66,844.8,64,559.0,88.46K,0.80%
45384,65,439.2,69,662.7,69,673.0,64,628.4,152.87K,-6.07%
45383,69,664.4,71,329.3,71,329.3,68,175.9,94.05K,-2.34%
45382,71,332.0,69,608.5,71,367.5,69,576.6,42.45K,2.47%
45381,69,611.5,69,872.3,70,321.2,69,564.9,29.87K,-0.37%
45380,69,871.7,70,766.7,70,907.0,69,090.9,58.99K,-1.26%
45379,70,762.1,69,449.4,71,542.5,68,956.9,72.49K,1.90%
45378,69,442.4,69,999.2,71,670.8,68,428.6,112.88K,-0.80%
45377,69,999.3,69,896.3,71,490.7,69,366.4,90.98K,0.15%
45376,69,892.0,67,216.4,71,118.8,66,395.0,124.72K,3.99%
45375,67,211.9,64,036.5,67,587.8,63,812.9,65.59K,4.96%
45374,64,037.8,63,785.6,65,972.4,63,074.9,35.11K,0.40%
45373,63,785.5,65,501.5,66,633.3,62,328.3,72.43K,-2.62%
45372,65,503.8,67,860.0,68,161.7,64,616.1,75.26K,-3.46%
45371,67,854.0,62,046.8,68,029.5,60,850.9,133.53K,9.35%
45370,62,050.0,67,594.1,68,099.6,61,560.6,148.08K,-8.20%
45369,67,594.1,68,389.7,68,920.1,66,601.4,78.07K,-1.17%
45368,68,391.2,65,314.2,68,857.7,64,605.5,66.07K,4.71%
45367,65,314.2,69,456.5,70,037.0,64,971.0,75.82K,-5.97%
45366,69,463.7,71,387.1,72,398.1,65,765.6,148.59K,-2.69%
45365,71,387.5,73,066.7,73,740.9,68,717.2,109.43K,-2.30%
45364,73,066.3,71,461.9,73,623.5,71,338.4,77.18K,2.23%
45363,71,470.2,72,099.1,72,916.7,68,845.6,105.09K,-0.87%
45362,72,099.1,68,964.7,72,771.5,67,452.8,114.72K,4.54%
45361,68,964.8,68,360.7,69,905.3,68,165.0,53.49K,0.88%
45360,68,366.5,68,178.5,68,576.9,67,923.9,30.71K,0.29%
45359,68,172.0,66,854.4,69,904.0,66,170.7,112.67K,1.97%
45358,66,855.3,66,074.6,67,985.5,65,602.6,77.47K,1.17%
45357,66,080.4,63,794.7,67,604.9,62,848.7,117.91K,3.59%
45356,63,792.6,68,273.1,69,063.1,60,138.2,207.60K,-6.56%
45355,68,270.1,63,135.8,68,495.1,62,746.8,130.86K,8.13%
45354,63,135.8,61,955.6,63,227.3,61,399.4,38.01K,1.84%
45353,61,994.5,62,397.7,62,446.3,61,621.9,33.80K,-0.65%
45352,62,397.7,61,157.3,63,147.3,60,790.9,74.96K,2.01%
45351,61,169.3,62,467.1,63,653.4,60,512.5,119.29K,-2.08%
45350,62,467.6,57,048.7,63,915.3,56,704.9,173.64K,9.48%
45349,57,056.2,54,491.1,57,555.2,54,464.0,100.48K,4.70%
45348,54,495.1,51,722.7,54,899.1,50,925.2,78.05K,5.36%
45347,51,722.7,51,572.1,51,952.0,51,299.0,23.61K,0.29%
45346,51,571.6,50,739.6,51,689.9,50,592.0,20.99K,1.64%
45345,50,740.5,51,320.6,51,532.5,50,537.6,43.27K,-1.13%
45344,51,320.4,51,850.2,52,015.8,50,947.3,50.27K,-1.04%
45343,51,858.2,52,263.5,52,367.3,50,676.9,59.02K,-0.78%
45342,52,263.5,51,783.1,52,936.8,50,801.8,68.10K,0.93%
45341,51,783.6,52,119.6,52,484.8,51,694.2,36.73K,-0.64%
45340,52,117.5,51,646.0,52,350.3,51,199.6,26.89K,0.91%
45339,51,646.0,52,134.2,52,175.5,50,652.3,32.45K,-0.94%
45338,52,134.2,51,901.4,52,556.7,51,612.6,52.86K,0.45%
45337,51,901.3,51,805.2,52,819.4,51,327.5,74.72K,0.23%
45336,51,782.4,49,708.6,52,010.7,49,263.8,80.35K,4.16%
45335,49,716.0,49,941.0,50,326.6,48,398.3,78.51K,-0.45%
45334,49,941.3,48,280.2,50,277.3,47,729.9,81.85K,3.45%
45333,48,277.3,47,759.3,48,531.6,47,590.2,36.50K,1.09%
45332,47,758.2,47,128.0,48,149.0,46,875.0,31.20K,1.34%
45331,47,127.5,45,293.3,48,118.8,45,254.2,98.11K,4.05%
45330,45,293.3,44,346.2,45,579.2,44,336.4,66.38K,2.15%
45329,44,339.8,43,088.4,44,367.9,42,783.5,48.57K,2.91%
45328,43,087.7,42,697.6,43,375.5,42,566.8,33.32K,0.91%
45327,42,697.2,42,581.4,43,532.2,42,272.5,39.26K,0.27%
45326,42,581.4,43,006.2,43,113.2,42,379.4,20.33K,-0.99%
45325,43,005.7,43,194.7,43,370.4,42,882.0,14.57K,-0.44%
45324,43,194.7,43,083.7,43,459.3,42,596.3,42.65K,0.26%
45323,43,081.4,42,580.1,43,263.1,41,890.5,47.69K,1.18%
45322,42,580.5,42,946.2,43,739.7,42,315.4,56.48K,-0.85%
45321,42,946.2,43,303.3,43,817.9,42,702.9,55.13K,-0.82%
45320,43,299.8,42,031.4,43,305.6,41,824.7,45.23K,3.02%
45319,42,030.7,42,121.3,42,817.1,41,649.0,32.53K,-0.21%
45318,42,120.9,41,811.5,42,191.8,41,413.0,20.46K,0.74%
45317,41,811.3,39,942.0,42,214.8,39,831.2,69.47K,4.70%
45316,39,935.7,40,085.1,40,285.8,39,546.3,46.30K,-0.37%
45315,40,086.0,39,891.3,40,535.2,39,510.0,58.64K,0.49%
45314,39,888.8,39,555.0,40,159.4,38,546.9,82.67K,0.84%
45313,39,556.4,41,581.7,41,684.9,39,468.4,85.10K,-4.87%
45312,41,583.2,41,695.4,41,878.0,41,504.5,16.11K,-0.27%
45311,41,695.4,41,647.6,41,858.0,41,449.5,22.27K,0.11%
45310,41,648.0,41,293.8,42,164.6,40,305.4,72.64K,0.86%
45309,41,292.7,42,763.5,42,908.0,40,682.6,70.35K,-3.45%
45308,42,768.7,43,139.1,43,192.3,42,211.8,50.44K,-0.87%
45307,43,145.5,42,515.2,43,563.7,42,093.1,63.93K,1.49%
45306,42,510.7,41,747.6,43,348.9,41,719.2,52.08K,1.83%
45305,41,746.1,42,851.3,43,069.4,41,739.6,37.14K,-2.58%
45304,42,851.3,42,836.7,43,248.6,42,443.3,48.18K,0.04%
45303,42,835.9,46,348.1,46,503.2,41,857.9,136.92K,-7.58%
45302,46,348.2,46,629.3,48,923.7,45,651.8,131.04K,-0.60%
45301,46,629.3,46,112.0,47,654.3,44,403.6,131.48K,1.08%
45300,46,129.0,46,959.2,47,880.1,45,333.9,100.09K,-1.77%
